"bucket_id","orders_paid"
19,9591
99,9481
124,9578
169,9494
183,9484
116,9680
146,9531
92,9402
127,9404
68,9591
14,9458
32,9717
227,9433
0,9717
40,9398
58,9500
218,9864
198,9574
44,9459
69,9892
220,9706
36,9264
216,10197
35,10041
140,9311
180,9789
219,9591
212,9904
243,9437
87,9372
240,9559
191,9547
103,9309
153,9214
56,9844
221,9586
246,9423
3,9299
6,9729
13,9711
173,9590
178,9613
208,9498
213,9623
164,9518
15,9805
67,9661
157,9894
66,9405
62,9579
172,9555
242,9592
73,9806
74,9218
21,9902
141,9504
196,9764
118,9508
29,9784
49,9542
209,9632
75,9628
113,9521
128,9447
158,9292
181,9256
94,9721
204,10079
26,9687
41,9791
114,9354
177,9521
5,9684
54,9459
109,9539
18,9641
170,9737
185,9240
205,9859
76,9468
207,9371
79,9686
129,9332
247,9777
190,9671
60,9463
57,9319
43,9560
63,9485
88,9699
28,9362
53,9316
193,9566
104,9504
89,9652
234,9686
132,9326
101,9488
161,9457
50,10106
174,10040
16,9683
61,9491
152,9266
149,9325
145,9418
1,9655
214,9455
226,9647
233,9512
122,9690
96,9669
182,9793
200,9274
123,9487
148,9422
9,9442
144,9455
236,9127
17,9227
202,9946
237,9812
138,9674
115,9978
11,9459
186,9498
38,9590
228,9223
224,9602
27,9617
107,9489
167,9687
131,9505
117,9607
10,9693
70,9733
80,9525
23,9278
238,9572
84,9507
51,9501
241,9405
105,9678
130,9901
135,9694
155,9427
150,9229
225,9583
71,9485
189,9461
188,9375
192,9586
151,9450
171,9523
206,10020
95,9800
235,9585
194,9278
102,9678
160,9672
25,9516
120,9558
81,9430
106,9422
139,9648
229,9472
239,9656
42,9719
137,9656
142,9502
30,9529
31,9514
47,9711
82,9554
97,9351
34,9467
64,9540
119,9809
52,9328
232,9273
65,9715
91,9369
168,9929
248,9425
201,9619
162,9603
222,9697
249,9424
211,9633
133,9512
55,9481
195,9372
156,9270
108,9155
223,9601
2,9490
187,9786
22,9433
230,9526
78,9547
83,9598
126,9614
37,9405
20,9544
45,9717
90,9803
165,9681
210,9694
111,9406
121,9537
8,9575
93,9556
7,9729
147,9289
197,9177
217,9518
136,9466
154,9508
184,9548
199,9533
85,9577
100,9647
98,9749
33,9671
86,9821
176,9318
12,9388
72,9753
39,9525
46,10021
166,9438
77,9698
112,9674
4,9564
134,9760
110,9761
175,9553
215,9590
159,9757
179,9621
48,9354
203,9447
125,9143
245,9688
231,9639
163,9488
143,9589
24,9880
59,9853
244,10014
