retailer,retailer_id,sell_date,region,state,city,product_category,price_per_unit,units_sold,operating_margin_share,sales_method
Foot Locker,1185732,1/1/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,50,1200,"0,50",В магазине
Foot Locker,1185732,1/2/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,50,1000,"0,30",В магазине
Foot Locker,1185732,1/3/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,40,1000,"0,35",В магазине
Foot Locker,1185732,1/4/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,45,850,"0,35",В магазине
Foot Locker,1185732,1/5/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,900,"0,30",В магазине
Foot Locker,1185732,1/6/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,50,1000,"0,25",В магазине
Foot Locker,1185732,1/7/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,50,1250,"0,50",В магазине
Foot Locker,1185732,1/8/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,50,900,"0,30",Аутлет
Foot Locker,1185732,1/21/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,40,950,"0,35",Аутлет
Foot Locker,1185732,1/22/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,45,825,"0,35",Аутлет
Foot Locker,1185732,1/23/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,900,"0,30",Аутлет
Foot Locker,1185732,1/24/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,50,1000,"0,25",Аутлет
Foot Locker,1185732,1/25/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,50,1220,"0,50",Аутлет
Foot Locker,1185732,1/26/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,50,925,"0,30",Аутлет
Foot Locker,1185732,1/27/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,40,950,"0,35",Аутлет
Foot Locker,1185732,1/28/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,45,800,"0,35",Аутлет
Foot Locker,1185732,1/29/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,850,"0,30",Аутлет
Foot Locker,1185732,1/30/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская одежда,50,950,"0,25",Аутлет
Foot Locker,1185732,1/31/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская уличная обувь,50,1200,"0,50",Аутлет
Foot Locker,1185732,2/1/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская спортивная обувь,50,900,"0,30",Аутлет
Foot Locker,1185732,2/2/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская уличная обувь,40,900,"0,35",Аутлет
Foot Locker,1185732,2/3/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Женская спортивная обувь,45,825,"0,35",Аутлет
Foot Locker,1185732,2/4/2020,Северо-Восток,Нью-Йорк,Нью-Йорк,Мужская одежда,60,825,"0,30",Аутлет
